,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
1129,Accident,1982-05-09,"FREDONIA, KS",United States,FREDONIA MUNICIPAL,Fatal,Destroyed,Luscombe,8A,No,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Takeoff,2.0,Luscombe 8A
1166,Accident,1982-05-12,"NEAR O'NEILL, NE",United States,Unknown,Fatal,Substantial,Cessna,T210N,No,1.0,Reciprocating,Business,0.0,1.0,4.0,0.0,IMC,Cruise,5.0,Cessna T210N
1171,Accident,1982-05-12,"SANFORD, ME",United States,SANFORD MUNICIPAL,Fatal,Substantial,Cessna,172P,No,1.0,Reciprocating,Unknown,0.0,2.0,1.0,1.0,VMC,Approach,4.0,Cessna 172P
1172,Incident,1982-05-13,"ST. LOUIS, MO",United States,LAMBERT-ST. LOUIS INTL,Incident,Minor,Cessna,402B,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,8.0,VMC,Taxi,8.0,Cessna 402B
1173,Accident,1982-05-13,"ELRENO, OK",United States,ELRENO,Fatal,Destroyed,Grumman,G-164A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,Grumman G-164A
1176,Accident,1982-05-13,"HOUMA, LA",United States,Unknown,Fatal,Substantial,Cessna,A185F,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,1.0,Cessna A185F
1184,Accident,1982-05-13,"PINEVILLE, LA",United States,PINEVILLE MUNICIPAL,Fatal,Substantial,Piper,PA-32RT-300,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,1.0,Piper PA-32RT-300
1189,Accident,1982-05-14,"TULSA, OK",United States,Unknown,Fatal,Substantial,Cessna,T210N,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Cruise,1.0,Cessna T210N
1195,Accident,1982-05-14,"MCALLEN, TX",United States,AIRSTRIP,Fatal,Substantial,Air Tractor,301,No,1.0,Reciprocating,Unknown,0.0,1.0,0.0,0.0,VMC,Takeoff,1.0,Air Tractor 301
1198,Accident,1982-05-15,"PEACH SPRINGS V, AZ",United States,Unknown,Fatal,Destroyed,Beech,A23-19,No,1.0,Reciprocating,Unknown,0.0,0.0,2.0,0.0,VMC,Cruise,2.0,Beech A23-19
1201,Accident,1982-05-15,"FARMINGTON, NM",United States,Unknown,Fatal,Destroyed,Grumman,G-164A,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Takeoff,1.0,Grumman G-164A
1214,Accident,1982-05-16,"MINDEN, NE",United States,SCHMIDT,Fatal,Destroyed,Cessna,182A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,1.0,Cessna 182A
